EQUIPMENT,IMPORTANCE,ERR_CODE,DESCRIPTION,PROCESS_METHOD,RESET_AVAILABLE
STC,상,514,FORK 1 LOAD HEIGHT CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,516,FORK 1 FORKING TIME OVER,FOLDING RETRY,O
STC,중,517,FORK 1 LEFT RACK LOAD CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,518,FORK 1 RIGHT RACK LOAD CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,519,FORK 1 LOAD SIZE CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,521,FORK 1 MOTOR OVER CURRENT,과전류,X
STC,중,522,FORK 1 MOTOR ENCODER ERROR,"엔코더 이상, 육안 확인 필요",X
STC,상,523,FORK 1 INVERTER COMMUCATION ERROR,통신 RETRY,O
STC,중,524,FORK 1 MOTOR SPEED ERROR,SPEED SETTING RETRY,O
STC,중,525,FORK1 MOTOR SPEED FOLLOWING ERROR,RETRY,X
STC,상,530,FORK 1 INVERTER ERROR,인버터 에러,X
STC,중,531,FORK 1 POSITION VALUE ERROR,포크 위치값 이상,△
STC,중,535, FORK1 RIGHT RACK LOAD DETECTED (OFFLINE),언로딩 전 우측랙 화물 감지,O
STC,중,551,FORK 2 HOME REFERENCE CONDITION ERROR,"HOME 관련, 육안 확인 필요",X
STC,상,552,FORK 2 LOAD FWD COLLAPSED,포크 내 화물 정위치 센서 불량,X
STC,상,553,FORK 2 LOAD BWD COLLAPSED,포크 내 화물 정위치 센서 불량,X
STC,상,554,FORK 2 LOAD LEFT COLLAPSED,포크 내 화물 정위치 센서 불량,X
STC,상,555,FORK 2 LOAD RIGHT COLLAPSED,포크 내 화물 정위치 센서 불량,X
STC,상,556,FORK 2 LOAD HEIGHT ERROR,포크 내 화물 정위치 센서 불량,X
STC,중,557,FORK 2 LEFT END SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,558,FORK 2 LEFT DECEL SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,559,FORK 2 RIGHT DECEL SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,560,FORK 2 RIGHT DECEL SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,561,FORK 2 LOAD DETECT SENSOR ERROR,센서 상태 이상,X
STC,상,562,FORK 2 LOAD LEFT COLLAPSED CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,상,563,FORK 2 LOAD RIGHT COLLAPSED CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,상,564,FORK 2 LOAD HEIGHT CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,566,FORK 2 FORKING TIME OVER,FOLDING RETRY,O
STC,중,567,FORK 2 LEFT RACK LOAD CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,568,FORK 2 RIGHT RACK LOAD CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,569,FORK 2 LOAD SIZE CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,571,FORK 2 MOTOR OVER CURRENT,과전류,X
STC,중,572,FORK 2 MOTOR ENCODER ERROR,"엔코더 이상, 육안 확인 필요",X
STC,상,573,FORK 2 INVERTER COMMUCATION ERROR,통신 RETRY,O
STC,중,574,FORK 2 MOTOR SPEED ERROR,SPEED SETTING RETRY,O
STC,중,575,FORK2 MOTOR SPEED FOLLOWING ERROR,인버터 출력만큼 모터 구동이 동작하지 않음,X
STC,상,580,FORK 2 INVERTER ERROR,인버터 에러,X
STC,중,581,FORK 2 POSITION VALUE ERROR,포크 위치값 이상,X
STC,중,585,FORK 2 POSITION VALUE ERROR,포크 위치값 이상,X
STC,중,586,FORK 2 POSITION VALUE ERROR,포크 위치값 이상,X
STC,상,601,GP-MP COMMUNICATION ERROR,통신 RETRY,X
STC,중,611,FORK 1 LOADING STEP 1 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
